Unnamed: 0,day,day_id,id,mood,activity,circumplex.valence,circumplex.arousal,appCat.other,appCat.finance,appCat.social,appCat.travel,appCat.game,appCat.builtin,appCat.communication,call,appCat.unknown,appCat.office,appCat.weather,sms,appCat.entertainment,screen,appCat.utilities,target,wake_up,sleep,week_day,week_mood
3318,2014-03-28,AS14.20_2014-03-28,AS14.20,6.25,0.02380952380952381,0.0,0.5,-0.5423981167022845,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.5552244078733903,-1.0054984985717483,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.0973412634027746,-0.27350470871951965,7.4,18.0,21.0,4,6.85
3322,2014-03-29,AS14.20_2014-03-29,AS14.20,7.4,0.13813915857605177,1.0,1.0,-0.010757963844935754,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,1.4262207322067275,-0.8408322392297185,-1.0600139058424605,4.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.0346060774376313,-0.27350470871951965,7.5,11.0,21.0,5,6.835714285714286
3327,2014-03-30,AS14.20_2014-03-30,AS14.20,7.5,0.3802083333333333,1.0,1.0,-0.5796832987125587,-0.24994440994036543,-0.44270629659737126,-0.38167579245765193,-0.22533758328546688,-0.9405304103609341,-0.8545222173501508,0.0,5.507881595871859,-0.21596061839931938,-0.21270503804382399,2.0,-0.6830451813610883,-1.019181751948848,-0.27350470871951965,7.0,10.0,13.0,6,6.821428571428571
3331,2014-03-31,AS14.20_2014-03-31,AS14.20,7.0,0.0125,0.8,0.8,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.962692869896277,-1.0602184254555473,1.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,3.0,-0.6830451813610883,-1.1892295545432763,-0.27350470871951965,6.25,19.0,19.0,0,6.8500000000000005
3335,2014-04-01,AS14.20_2014-04-01,AS14.20,6.25,0.0,0.0,0.0,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,2.3865785729349938,-0.9244727952927754,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,4.0,-0.6830451813610883,-1.1873664599479676,-0.27350470871951965,6.5,7.0,23.0,1,6.885714285714286
3339,2014-04-02,AS14.20_2014-04-02,AS14.20,6.5,0.06712962962962966,0.25,0.0,-0.4955257146011662,-0.24994440994036543,-0.13833570320419525,0.028230274654239614,-0.22533758328546688,-0.4535474457122335,-0.7226109532677103,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.527002031195353,-0.7179167727845306,-0.27350470871951965,6.666666666666667,3.0,16.0,2,6.8428571428571425
3343,2014-04-03,AS14.20_2014-04-03,AS14.20,6.666666666666667,0.05502297410192151,0.3333333333333333,0.3333333333333333,-0.5267910142288174,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.9195701785243867,-1.0702787500812272,1.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.1821392241841073,-0.27350470871951965,7.0,2.0,22.0,3,6.795238095238095
3346,2014-04-04,AS14.20_2014-04-04,AS14.20,7.0,0.01574074074074075,0.5,0.75,-0.3868984233974445,1.0635562455125687,-0.4186043186810552,-0.38167579245765193,1.5994180589031606,-0.6877266477311949,-0.7001905514074379,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-0.7619727544837159,-0.27350470871951965,7.0,19.0,23.0,4,6.902380952380952
3350,2014-04-05,AS14.20_2014-04-05,AS14.20,7.0,0.09056023599628252,0.8,0.4,0.13515915434003445,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,1.1848924494055855,-0.8542790463848212,-1.0243609392770407,2.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6542292926729164,-1.0248431109516773,-0.27350470871951965,7.0,9.0,22.0,5,6.845238095238095
3355,2014-04-06,AS14.20_2014-04-06,AS14.20,7.0,0.06022714082246478,0.8,0.6,-0.5796832987125587,-0.24994440994036543,-0.370258667919326,-0.38167579245765193,1.1702257393703095,-0.7323974814050996,-0.6560041132898092,3.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.6682748752502412,-0.37372227654410606,-0.27350470871951965,6.8,2.0,23.0,6,6.773809523809525
